14,"Groningen"
34,"Almere"
37,"Stadskanaal"
47,"Veendam"
60,"Ameland"
72,"Harlingen"
74,"Heerenveen"
1721,"Bernheze"
397,"Heemstede"
80,"Leeuwarden"
85,"Ooststellingwerf"
86,"Opsterland"
1701,"Westerveld"
1705,"Lingewaard"
1706,"Cranendonck"
1708,"Steenwijkerland"
1709,"Moerdijk"
1711,"Echt-Susteren"
1714,"Sluis"
1719,"Drimmelen"
362,"Amstelveen"
1723,"Alphen-Chaam"
50,"Zeewolde"
59,"Achtkarspelen"
339,"Renswoude"
340,"Rhenen"
342,"Soest"
344,"Utrecht"
345,"Veenendaal"
396,"Heemskerk"
351,"Woudenberg"
88,"Schiermonnikoog"
90,"Smallingerland"
93,"Terschelling"
96,"Vlieland"
98,"Weststellingwerf"
106,"Assen"
109,"Coevorden"
114,"Emmen"
118,"Hoogeveen"
119,"Meppel"
141,"Almelo"
147,"Borne"
148,"Dalfsen"
150,"Deventer"
153,"Enschede"
158,"Haaksbergen"
160,"Hardenberg"
163,"Hellendoorn"
166,"Kampen"
168,"Losser"
171,"Noordoostpolder"
173,"Oldenzaal"
175,"Ommen"
177,"Raalte"
180,"Staphorst"
183,"Tubbergen"
352,"Wijk bij Duurstede"
353,"IJsselstein"
355,"Zeist"
356,"Nieuwegein"
358,"Aalsmeer"
361,"Alkmaar"
363,"Amsterdam"
375,"Beverwijk"
376,"Blaricum"
377,"Bloemendaal"
383,"Castricum"
384,"Diemen"
385,"Edam-Volendam"
388,"Enkhuizen"
392,"Haarlem"
394,"Haarlemmermeer"
399,"Heiloo"
1724,"Bergeijk"
1728,"Bladel"
1729,"Gulpen-Wittem"
1730,"Tynaarlo"
1731,"Midden-Drenthe"
627,"Waddinxveen"
1734,"Overbetuwe"
1735,"Hof van Twente"
1740,"Neder-Betuwe"
1742,"Rijssen-Holten"
184,"Urk"
189,"Wierden"
193,"Zwolle"
629,"Wassenaar"
197,"Aalten"
200,"Apeldoorn"
202,"Arnhem"
203,"Barneveld"
209,"Beuningen"
213,"Brummen"
289,"Wageningen"
214,"Buren"
216,"Culemborg"
221,"Doesburg"
222,"Doetinchem"
225,"Druten"
226,"Duiven"
228,"Ede"
230,"Elburg"
232,"Epe"
233,"Ermelo"
243,"Harderwijk"
244,"Hattem"
246,"Heerde"
252,"Heumen"
262,"Lochem"
267,"Nijkerk"
293,"Westervoort"
268,"Nijmegen"
269,"Oldebroek"
273,"Putten"
274,"Renkum"
275,"Rheden"
277,"Rozendaal"
279,"Scherpenzeel"
281,"Tiel"
285,"Voorst"
502,"Capelle aan den IJssel"
294,"Winterswijk"
296,"Wijchen"
297,"Zaltbommel"
299,"Zevenaar"
301,"Zutphen"
302,"Nunspeet"
613,"Albrandswaard"
622,"Vlaardingen"
626,"Voorschoten"
632,"Woerden"
637,"Zoetermeer"
638,"Zoeterwoude"
642,"Zwijndrecht"
654,"Borsele"
664,"Goes"
668,"West Maas en Waal"
303,"Dronten"
307,"Amersfoort"
308,"Baarn"
310,"De Bilt"
312,"Bunnik"
313,"Bunschoten"
317,"Eemnes"
321,"Houten"
327,"Leusden"
331,"Lopik"
335,"Montfoort"
400,"Den Helder"
402,"Hilversum"
405,"Hoorn"
406,"Huizen"
415,"Landsmeer"
851,"Steenbergen"
420,"Medemblik"
431,"Oostzaan"
432,"Opmeer"
437,"Ouder-Amstel"
439,"Purmerend"
441,"Schagen"
677,"Hulst"
678,"Kapelle"
703,"Reimerswaal"
1783,"Westland"
715,"Terneuzen"
716,"Tholen"
717,"Veere"
718,"Vlissingen"
736,"De Ronde Venen"
737,"Tytsjerksteradiel"
743,"Asten"
744,"Baarle-Nassau"
748,"Bergen op Zoom"
753,"Best"
1774,"Dinkelland"
1891,"Dantumadiel"
1842,"Midden-Delfland"
1859,"Berkelland"
1876,"Bronckhorst"
1883,"Sittard-Geleen"
1884,"Kaag en Braassem"
1892,"Zuidplas"
1894,"Peel en Maas"
1895,"Oldambt"
1896,"Zwartewaterland"
1900,"S̼dwest-Frysl̢n"
1901,"Bodegraven-Reeuwijk"
1903,"Eijsden-Margraten"
1904,"Stichtse Vecht"
448,"Texel"
450,"Uitgeest"
451,"Uithoorn"
453,"Velsen"
798,"Hilvarenbeek"
809,"Loon op Zand"
820,"Nuenen, Gerwen en Nederwetten"
823,"Oirschot"
824,"Oisterwijk"
826,"Oosterhout"
828,"Oss"
840,"Rucphen"
845,"Sint-Michielsgestel"
847,"Someren"
848,"Son en Breugel"
852,"Waterland"
855,"Tilburg"
858,"Valkenswaard"
861,"Veldhoven"
865,"Vught"
866,"Waalre"
867,"Waalwijk"
873,"Woensdrecht"
879,"Zundert"
880,"Wormerland"
882,"Landgraaf"
889,"Beesel"
899,"Brunssum"
907,"Gennep"
917,"Heerlen"
928,"Kerkrade"
473,"Zandvoort"
479,"Zaanstad"
482,"Alblasserdam"
484,"Alphen aan den Rijn"
489,"Barendrecht"
498,"Drechterland"
503,"Delft"
505,"Dordrecht"
512,"Gorinchem"
513,"Gouda"
518,"s-Gravenhage"
523,"Hardinxveld-Giessendam"
531,"Hendrik-Ido-Ambacht"
532,"Stede Broec"
534,"Hillegom"
537,"Katwijk"
542,"Krimpen aan den IJssel"
546,"Leiden"
547,"Leiderdorp"
553,"Lisse"
935,"Maastricht"
938,"Meerssen"
944,"Mook en Middelaar"
946,"Nederweert"
957,"Roermond"
965,"Simpelveld"
981,"Vaals"
983,"Venlo"
984,"Venray"
986,"Voerendaal"
988,"Weert"
994,"Valkenburg aan de Geul"
1911,"Hollands Kroon"
1916,"Leidschendam-Voorburg"
1945,"Berg en Dal"
1948,"Meierijstad"
1681,"Borger-Odoorn"
1949,"Waadhoeke"
1950,"Westerwolde"
1952,"Midden-Groningen"
1954,"Beekdaelen"
1955,"Montferland"
1959,"Altena"
1960,"West Betuwe"
1961,"Vijfheerenlanden"
1963,"Hoeksche Waard"
1966,"Het Hogeland"
785,"Goirle"
1969,"Westerkwartier"
556,"Maassluis"
569,"Nieuwkoop"
575,"Noordwijk"
579,"Oegstgeest"
589,"Oudewater"
1674,"Roosendaal"
1676,"Schouwen-Duiveland"
794,"Helmond"
1680,"Aa en Hunze"
590,"Papendrecht"
597,"Ridderkerk"
599,"Rotterdam"
606,"Schiedam"
610,"Sliedrecht"
755,"Boekel"
757,"Boxtel"
1586,"Oost Gelre"
758,"Breda"
762,"Deurne"
765,"Pekela"
766,"Dongen"
770,"Eersel"
772,"Eindhoven"
777,"Etten-Leur"
779,"Geertruidenberg"
784,"Gilze en Rijen"
796,"s-Hertogenbosch"
797,"Heusden"
995,"Lelystad"
1507,"Horst aan de Maas"
1509,"Oude IJsselstreek"
1525,"Teylingen"
1581,"Utrechtse Heuvelrug"
1598,"Koggenland"
1621,"Lansingerland"
1640,"Leudal"
1641,"Maasgouw"
1652,"Gemert-Bakel"
1655,"Halderberge"
1658,"Heeze-Leende"
1659,"Laarbeek"
1690,"De Wolden"
1695,"Noord-Beveland"
1696,"Wijdemeren"
1699,"Noordenveld"
1700,"Twenterand"
1667,"Reusel-De Mierden"
1669,"Roerdalen"
1771,"Geldrop-Mierlo"
1773,"Olst-Wijhe"
1924,"Goeree-Overflakkee"
1926,"Pijnacker-Nootdorp"
1930,"Nissewaard"
1931,"Krimpenerwaard"
1980,"Dijk en Waard"
1940,"De Fryske Marren"
1942,"Gooise Meren"
1970,"Noardeast-Frysl̢n"
1978,"Molenlanden"
1979,"Eemsdelta"
1982,"Land van Cuijk"
1991,"Maashorst"
1992,"Voorne aan Zee"
263,"Maasdriel"
888,"Beek"
971,"Stein"
417,"Laren"
373,"Bergen (NH)"
164,"Hengelo (O)"
687,"Middelburg"
893,"Bergen (L)"
603,"Rijswijk"
